FR
Besoins d'accompagnement à la recherche 2025-2026
1/ Diriez-vous que vous êtes familier.ère des principes de la Science Ouverte ?
so_principles

Non
"Oui, un peu"
"Oui, tout à fait"
"2/ Avez-vous déjà déposé une production scientifique (article, communication...) sur HAL ?"
hal_depot
"Oui, une fois"
"Oui, plusieurs fois"
"Oui, systématiquement"
"3/ Avez-vous des productions déposées sur Octaviana, la bibliothèque numérique de l'université ?"
octavi_depot
Plusieurs réponses possibles
Des travaux universitaires
Des publications
Des formations
"Des captations d'évènements (colloque, journée d'étude)"
Je ne connais pas Octaviana
4/ Avez-vous déjà diffusé vos données de recherche une fois le projet terminé ?
open_data
"Oui, sur Data Paris 8"
"Oui, sur Zenodo, Nakala"
"Oui, sur Nakala"
"Autre, précisez"
"5/ Dans le cadre de vos travaux de recherche, quels langages de programmation/logiciels de traitement de données utilisez-vous ?"
R
Oui
Python
Excel
Julia
Stata
SAS
Aucun
Autre
"5.1/ Si Autre, précisez lequel (lesquels) ?"
other_lang
"6/ Dans le cadre de vos activités de recherche, êtes-vous amené.e à développer ou faire développer des logiciels/du code spécialisé(s) ?"
dev_code
"6.1/ Si oui, pourriez-vous expliquer ce que vous avez développé ?"
dev_exemple
7/ Avez-vous déjà déposé des logiciels ou codes sources dans un entrepôt dédié ?
software_depot
"Oui, sur GitHub"
"Oui, sur GitLab"
"Oui, sur Software Heritage"
"Oui, autre, précisez"
"8/ En termes d'accompagnement à la Science Ouverte, ressentez-vous le besoin d'être formé.e pour :"
Faire un dépôt sur HAL
"Non, pas utile"
"Oui, plutôt utile"
"Oui, très utile"
Rédiger un Plan de Gestion de données (PGD ou DMP)
Respecter les principes RGPD dans le cadre d'enquêtes ou d'entretiens
Connaître les différents types de licence pour la diffusion des résultats de recherche
Déposer des données dans un entrepôt
Connaître les standards de métadonnées
Rédiger un data paper
"FAIRiser des données, gérer des données selon les principes FAIR"
"9/ Ce type d'accompagnement serait-il utile pour votre équipe ou vos étudiants ? Si oui, lesquels ?"
utilite_accomp
1/ Quelles types de données produisez-vous ?
type_data
Données expérimentales ou d'observation
Données d'enquête
Données d'entretien
Données textuelles ou documentaires
Données du web
Données statistiques
Données multimédia
Données géographiques ou spatiales
Métadonnées
Aucune
"Autre, précisez lesquelles"
2/ Diriez-vous que vous travaillez le plus souvent avec ?
quali_or_quanti
Des données qualitatives
Des données quantitatives
Les deux
3/ Connaissez-vous la TGIR Huma-Num ?
humanum
3.1/ Par quel(s) moyen(s) l'avez-vous connue ?
how_humanum
Votre structure de recherche
Des collègues
Des recherches en ligne
Des listes de diffusion
"Les ""Cafés Huma-Num"""
Des évènements scientofiques (rencontres Huma-Num)
A l'occasion de formations
"4/ LA TGIR Huma-Num propose plusieurs services à destination de la communauté de recherche, avez-vous déjà utilisé les services suivants ?"
service_hn
Nakala
Isidore
ShareDocs
Hébergement web
5/ Avez-vous utilisé d'autres services de la TGIR Huma-Num ?
other_tools_hn
Stylo
Mattermost
GitLab
Matomo
HNURL
Kanboard
6/ Ressentez-vous bénéficier d'un accompagnement à l'utilisation de certains de ces services ?
hn_accomp
Nakala (entrepôt de données)
Isidore (moteur de recherche documentaire)
ShareDocs (plateforme de partage de fichiers et de traitement des données)
7/ Ressentez-vous le besoin d'un accompagnement à l'utilisation de logiciels en open source ?
accomp_open_software
Tableur
"Oui, débutant"
"Oui, avancé"
Logiciels d'analyse statistique (ex. R – Rstudio)
"Python (web-scraping, traitement automatique des langues…)"
"Logiciels d'exploration de textes, analyse, statistique... (ex. Gargantext, Iramuteq, Hyperbase)"
Logiciels d'OCR : reconnaissance Optique de Caractères
Logiciels d'analyse de réseaux (ex. Gephi)
"Logiciels d'édition numérique en ligne (ex. Odette, Atom)"
"Logiciel de traitement des données qualitatives, CAQDAS (ex. Taguette)"
Logiciels de cartographie thématique (ex. Magrit)
Logiciels de SIG (ex. QGis)
Système de gestion de base de données
"7.1/ Si Autre, précisez lequel (lesquels) ?"
other_accomp_software
"8/ Ce type d'accompagnements serait-il utile pour votre équipe ou vos étudiants ? Si oui, précisez lesquels :"
util_accomp_software
1/ Ressentez-vous le besoin d'un accompagnement méthodologique ?
accomp_method
Statistiques descriptives
Régressions
"Analyse de données temporelles (analyse de survie, de séquence, de données longitudinales...)"
Cartographie
Analyse textuelle
Analyse de réseaux
Extraction de données du web (web-scraping)
"Intelligence artificielle (deep learning, active learning)"
Edition numérique
Construction d'un questionnaire
Bibliométrie
"2/  Ce type d’accompagnement serait-il utile pour votre équipe ou vos étudiants ? Si
oui, lesquels ?"
utilite_accomp_methode
"3/ Ressentez-vous le besoin d'un accompagnement à l'utilisation de logiciels en
open source ?"
accomp_open_software_2
"Python : web-scraping, traitement automatique des langues…"
"Logiciels d'exploration de textes : analyse, statistique... (ex. Gargantext, Iramuteq, Hyperbase)"
Logiciels d'OCR : reconnaissance Optique de Caractère
"3.1/ Si Autre, précisez lequel (lesquels) ?"
accomp_other_software_2
4/ Ressentez-vous le besoin d'un accompagnement à l'utilisation de logiciels sous licence ?
accomp_closed_software
SPSS
STATA
Nvivo
Atlas.ti
Oxygen
ArcGis
"4.1/ Si Autre, lequel (lesquels) ?"
accomp_other_closed_software
"5/ Ce type d’accompagnement serait-il utile pour votre équipe ou vos étudiants ? Si oui, lesquels ?"
util_accomp_closed_software
"6/ Parmi les services que pourraient proposer les différents services de l’université (bibliothèque, direction de la recherche, pôle développement RH… ), lesquels vous paraissent les plus utiles ?"
futur_service_univ
Des postes informatiques équipés de logiciels
"Des ressources documentaires (ouvrages méthodologiques, thématiques…)"
"Des espaces de travail, salle de réunion"
