### Environnement et espace

|SH1|SH2|SH3|SH5|SH6|SH7|SH8|PE7|PE8|PE9|PE10|LS4|LS6|LS7|LS8|LS9|SH4|LS5|PE6|PE1|PE5|
|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
|0.0|0.0|**1.0**|0.0|0.0|**1.0**|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|
|0.0|0.0|**1.0**|0.0|0.0|**1.0**|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|
|0.0|0.0|**1.0**|0.0|0.0|**1.0**|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|
|0.0|0.0|**1.0**|0.0|0.0|**1.0**|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|
|0.0|0.0|**1.0**|0.0|0.0|**1.0**|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|
|0.0|0.0|**1.0**|0.0|0.0|**1.0**|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|
|0.0|0.0|**1.0**|0.0|0.0|**1.0**|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|
|0.0|0.0|0.0|0.0|0.0|**1.0**|0.0|0.0|0.0|0.0|**1.0**|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|


### Information et communication

|SH1|SH2|SH3|SH5|SH6|SH7|SH8|PE7|PE8|PE9|PE10|LS4|LS6|LS7|LS8|LS9|SH4|LS5|PE6|PE1|PE5|
|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
|0.0|0.0|**1.0**|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|
|0.0|0.0|**1.0**|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|
|0.0|0.0|**1.0**|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|
|0.0|0.0|**1.0**|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|
|0.0|0.0|**1.0**|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|
|0.0|0.0|**1.0**|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|**1.0**|0.0|0.0|
|0.0|0.0|**1.0**|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|
